                                                               File , Telescope ,       Date/Time-Obs ,  Altitude ,   Azimuth , Position Angle , CCD temp (C) , Maximum good CCD value , Gain , Bias , Exposure time , CCD width (pixels) , CCD height (pixels)
/Users/kel/Dropbox/pdp/darks/darks_1cell/o6601g0218d.ota33.034.fits ,       PS1 , 2013-11-05T16:12:20 , 74.475381 , 65.495329 ,     161.092584 ,        -70.2 ,                  57500 , 1.03 , 7795 ,         0.001 ,                624 ,                 608
/Users/kel/Dropbox/pdp/darks/darks_1cell/o6601g0219d.ota33.034.fits ,       PS1 , 2013-11-05T16:12:40 , 74.475382 ,  65.49533 ,     161.092585 ,        -70.2 ,                  57500 , 1.03 , 7795 ,          10.0 ,                624 ,                 608
/Users/kel/Dropbox/pdp/darks/darks_1cell/o6601g0220d.ota33.034.fits ,       PS1 , 2013-11-05T16:13:19 , 74.475393 ,  65.49533 ,     161.092579 ,        -69.9 ,                  57500 , 1.03 , 7794 ,          30.0 ,                624 ,                 608
/Users/kel/Dropbox/pdp/darks/darks_1cell/o6601g0221d.ota33.034.fits ,       PS1 , 2013-11-05T16:15:09 , 74.475326 , 65.495329 ,      161.09261 ,        -69.9 ,                  57500 , 1.03 , 7793 ,         100.0 ,                624 ,                 608
/Users/kel/Dropbox/pdp/darks/darks_1cell/o6601g0222d.ota33.034.fits ,       PS1 , 2013-11-05T16:21:19 , 74.475351 ,  65.49533 ,       161.0926 ,        -70.2 ,                  57500 , 1.03 , 7793 ,         360.0 ,                624 ,                 608
/Users/kel/Dropbox/pdp/darks/darks_1cell/o7171g0572d.ota33.034.fits ,       PS1 , 2015-05-29T15:31:34 , 74.478996 , 65.506427 ,      161.09203 ,        -56.3 ,                  57500 , 1.03 , 7862 ,         0.001 ,                624 ,                 608
/Users/kel/Dropbox/pdp/darks/darks_1cell/o7171g0573d.ota33.034.fits ,       PS1 , 2015-05-29T15:31:53 , 74.479001 , 65.506427 ,     161.092028 ,        -56.3 ,                  57500 , 1.03 , 7863 ,          10.0 ,                624 ,                 608
/Users/kel/Dropbox/pdp/darks/darks_1cell/o7171g0574d.ota33.034.fits ,       PS1 , 2015-05-29T15:32:33 , 74.478995 , 65.506426 ,      161.09203 ,        -56.1 ,                  57500 , 1.03 , 7862 ,          30.0 ,                624 ,                 608
/Users/kel/Dropbox/pdp/darks/darks_1cell/o7171g0575d.ota33.034.fits ,       PS1 , 2015-05-29T15:34:23 , 74.478996 , 65.506429 ,     161.092032 ,        -56.3 ,                  57500 , 1.03 , 7861 ,         100.0 ,                624 ,                 608
/Users/kel/Dropbox/pdp/darks/darks_1cell/o7171g0576d.ota33.034.fits ,       PS1 , 2015-05-29T15:40:32 , 74.479006 , 65.506426 ,     161.092024 ,        -56.3 ,                  57500 , 1.03 , 7860 ,         360.0 ,                624 ,                 608
